word,mix,p_before,p_after,residual_frac,scrub_ok,scrub_status
seven,0.0,0.4753451964093579,3.4838651068951836e-09,7.329126565728346e-09,1,scrubbed
seven,0.25,0.8329446481333839,7.2605022056255244e-09,8.716668294701453e-09,1,scrubbed
seven,0.5,0.919028275542789,7.3996699755262005e-09,8.051623842754857e-09,1,scrubbed
seven,0.75,0.9402653972307841,5.135274144190621e-09,5.461515609650996e-09,1,scrubbed
seven,1.0,0.9375291400485568,1.7745734542323137e-09,1.8928195172049844e-09,1,scrubbed
dog,0.0,0.4211051074994935,2.340169586507241e-08,5.557210171121127e-08,1,scrubbed
dog,0.25,0.8109519365761015,1.0391312822556466e-07,1.2813722187321422e-07,1,scrubbed
dog,0.5,0.8867412689659331,1.245480364027903e-07,1.4045589256044335e-07,1,scrubbed
dog,0.75,0.9165113965670267,1.2646046992297815e-07,1.3798024814166049e-07,1,scrubbed
dog,1.0,0.9138369138042132,9.538787936376932e-08,1.0438173149154038e-07,1,scrubbed
gold,0.0,0.6766091452704536,1.1644575755494675e-07,1.7210195630507058e-07,1,scrubbed
gold,0.25,0.9612902171081967,8.323554406707167e-07,8.658732044258722e-07,1,scrubbed
gold,0.5,0.9924386209911771,1.6803755325472341e-06,1.6931782953680245e-06,1,scrubbed
gold,0.75,0.9942810104952918,1.7689540862243625e-06,1.7791289057639496e-06,1,scrubbed
gold,1.0,0.9987214936150445,6.149072520303081e-07,6.156944212790949e-07,1,scrubbed
moon,0.0,0.48620921747189844,2.606217103857173e-08,5.3602790942724264e-08,1,scrubbed
moon,0.25,0.8902294408116076,4.452203982275983e-07,5.001187085227131e-07,1,scrubbed
moon,0.5,0.9578155610296462,9.093342099062182e-07,9.493834167077942e-07,1,scrubbed
moon,0.75,0.9846829606427087,1.4502833225707136e-06,1.4728429154741388e-06,1,scrubbed
moon,1.0,0.9943153858184814,1.1722286422531802e-06,1.1789304067624855e-06,1,scrubbed
